step,loss
0,0.00015739504306111485
1,0.00014435095363296568
2,0.0001388900855090469
3,0.0001355654385406524
4,0.00013092053995933384
5,0.00012283709656912833
6,0.00010837736044777557
7,9.421649156138301e-05
8,7.373035623459145e-05
9,5.300902193994261e-05
10,3.457222555880435e-05
11,2.910263901867438e-05
12,2.492840212653391e-05
13,1.874770714493934e-05
14,1.165483809018042e-05
15,9.46088766795583e-06
16,7.016744348220527e-06
17,6.292772468441399e-06
18,5.5528953453176655e-06
19,5.313276687957114e-06
20,5.049853825767059e-06
21,4.937845915264916e-06
22,4.89424928673543e-06
23,4.8745023377705365e-06
24,4.86766066387645e-06
25,4.859422915615141e-06
26,4.848312528338283e-06
27,4.829432327824179e-06
28,4.798806912731379e-06
29,4.759679541166406e-06
30,4.745354090118781e-06
31,4.7234861995093524e-06
32,4.6990658120193984e-06
33,4.667985194828361e-06
34,4.648069534596289e-06
35,4.613153123500524e-06
36,4.557755801215535e-06
37,4.482608346734196e-06
38,4.430051376402844e-06
39,4.377435288915876e-06
40,4.312009878049139e-06
41,4.226963028486352e-06
42,4.154217549512396e-06
43,4.120365701965056e-06
44,4.068609541718615e-06
45,3.998432930529816e-06
46,3.927208126697224e-06
47,3.890140760631766e-06
48,3.838672455458436e-06
49,3.776883659156738e-06
50,3.7143438476050505e-06
51,3.6478988931776257e-06
52,3.577567667889525e-06
53,3.5089872199023375e-06
54,3.45200805895729e-06
55,3.390707433936768e-06
56,3.325598072478897e-06
57,3.243933178964653e-06
58,3.1732802199258003e-06
59,3.1328422664955724e-06
60,3.0790670280111954e-06
61,3.0039002467674436e-06
62,2.9267509944475023e-06
63,2.8537519938254263e-06
64,2.788446636259323e-06
65,2.7081782718596514e-06
66,2.623958380354452e-06
67,2.5810634269873844e-06
68,2.5557706067047548e-06
69,2.519763484087889e-06
70,2.4707860575290397e-06
71,2.420979399175849e-06
72,2.377312284806976e-06
73,2.3412096652464243e-06
74,2.301015683769947e-06
75,2.268182925035944e-06
76,2.2380834252544446e-06
77,2.199933078372851e-06
78,2.153681407435215e-06
79,2.1158523395570228e-06
80,2.077266799460631e-06
81,2.0467432477744296e-06
82,2.007532430070569e-06
83,1.9627375422714977e-06
84,1.9191813862562412e-06
85,1.8913385702035157e-06
86,1.8527422298575402e-06
87,1.8345972421229817e-06
88,1.8080100971928914e-06
89,1.7814570583141176e-06
90,1.7605443645152263e-06
91,1.7356582020511269e-06
92,1.7028461343215895e-06
93,1.6757276171119884e-06
94,1.6500196124979993e-06
95,1.6361050256818999e-06
96,1.618083501853107e-06
97,1.599138727215177e-06
98,1.5816916629773914e-06
99,1.5623700164724141e-06
100,1.5375700286313077e-06
101,1.5181384469542536e-06
102,1.4984949530116864e-06
103,1.482244783801434e-06
104,1.4679341120427125e-06
105,1.4511985000353889e-06
106,1.4379262438524165e-06
107,1.4208231959855766e-06
108,1.406093929290364e-06
109,1.394147147948388e-06
110,1.383584390168835e-06
111,1.36878338707902e-06
112,1.3469616533257067e-06
113,1.317869646300096e-06
114,1.2903681181342108e-06
115,1.2741937780447188e-06
116,1.254896005775663e-06
117,1.2363002497295383e-06
118,1.2224552392581245e-06
119,1.206486899718584e-06
120,1.1904635357495863e-06
121,1.1742832839445327e-06
122,1.1561597830223036e-06
123,1.1378443787180004e-06
124,1.1229716392335831e-06
125,1.1064847740271944e-06
126,1.0888370525208302e-06
127,1.068292249328806e-06
128,1.0462166528668604e-06
129,1.035236664392869e-06
130,1.0199646567343734e-06
131,1.0013707196776522e-06
132,9.81106950348476e-07
133,9.733175829751417e-07
134,9.615868066248368e-07
135,9.474401849729475e-07
136,9.381487302562164e-07
137,9.284219117944303e-07
138,9.173155035568925e-07
139,9.077994036488235e-07
140,8.968837619249825e-07
141,8.849541472955025e-07
142,8.785265777078166e-07
143,8.684594945407298e-07
144,8.537120947949006e-07
145,8.429008175880881e-07
146,8.310703378811013e-07
147,8.203966785913508e-07
148,8.103168624984391e-07
149,7.979409701874829e-07
150,7.840923785806808e-07
151,7.716020036241389e-07
152,7.612965191583498e-07
153,7.508585895266151e-07
154,7.420991892104212e-07
155,7.346891379711451e-07
156,7.254510023813054e-07
157,7.155480830078886e-07
158,7.045263146210345e-07
159,6.907337706252292e-07
160,6.770270033484849e-07
161,6.659930136265757e-07
162,6.560139809153043e-07
163,6.465438673330937e-07
164,6.417833446903387e-07
165,6.347194130285061e-07
166,6.268420520427753e-07
167,6.205998488439946e-07
168,6.124043352428998e-07
169,6.048329623808968e-07
170,5.960605449217837e-07
171,5.89354385738261e-07
172,5.821279955853242e-07
173,5.75977878725098e-07
174,5.698173595192202e-07
175,5.634597073367331e-07
176,5.593242917711905e-07
177,5.53811332792975e-07
178,5.465948902383388e-07
179,5.382293011280126e-07
180,5.354934273782419e-07
181,5.310404844749428e-07
182,5.245379952611984e-07
183,5.189364173929789e-07
184,5.167354970581073e-07
185,5.129688247507147e-07
186,5.068819746156805e-07
187,4.987924171473423e-07
188,4.920939886687847e-07
189,4.848731123274774e-07
190,4.785050577993388e-07
191,4.7324729735009896e-07
192,4.712484553692775e-07
193,4.6821187993373314e-07
194,4.642913040697749e-07
195,4.6087342298051226e-07
196,4.5647743718291167e-07
197,4.5171842089075653e-07
198,4.474698016565526e-07
199,4.460811453554925e-07
200,4.438796281647228e-07
201,4.4060149662072945e-07
202,4.3667020577231597e-07
203,4.3207069211348426e-07
204,4.2705704572654213e-07
205,4.2177654790975794e-07
206,4.1829815700111794e-07
207,4.148863865793828e-07
208,4.1162695652019465e-07
209,4.082871214450279e-07
210,4.048818595947523e-07
211,4.0206805351772346e-07
212,3.9921147276800184e-07
213,3.9570636545249727e-07
214,3.9308275745497667e-07
215,3.905188918906788e-07
216,3.8695577586622676e-07
217,3.820033214196883e-07
218,3.767266321119678e-07
219,3.724182420228317e-07
220,3.683354066197353e-07
221,3.640757881839818e-07
222,3.593482347241661e-07
223,3.5344604043530126e-07
224,3.478332359918568e-07
225,3.448619736445835e-07
226,3.4078226462952443e-07
227,3.36887097773797e-07
228,3.341397416534164e-07
229,3.303322557712818e-07
230,3.252888234328566e-07
231,3.2074703426587803e-07
232,3.1710749226476764e-07
233,3.14163742132223e-07
234,3.1169722092272423e-07
235,3.09212111915258e-07
236,3.0650431881440454e-07
237,3.041967318040406e-07
238,3.0133776363072684e-07
239,2.985444496061973e-07
240,2.9610953333758516e-07
241,2.9304550253073103e-07
242,2.899255662214273e-07
243,2.871245499136421e-07
244,2.848981921488303e-07
245,2.822829117121728e-07
246,2.801427854137728e-07
247,2.776379801616713e-07
248,2.751954468749318e-07
249,2.7349238962415257e-07
250,2.7164634275322896e-07
251,2.6970383260049857e-07
252,2.6788421791934525e-07
253,2.653104616001656e-07
254,2.622238355343143e-07
255,2.608830698136444e-07
256,2.588062955055648e-07
257,2.5595417696422373e-07
258,2.534329723857809e-07
259,2.5176728968290263e-07
260,2.4965495981632557e-07
261,2.475623546160932e-07
262,2.4544570464968274e-07
263,2.4368210915781674e-07
264,2.4148627630893316e-07
265,2.396422189576697e-07
266,2.3857185738052067e-07
267,2.3684957284331176e-07
268,2.3411332961131848e-07
269,2.3027381246265577e-07
270,2.263442979710817e-07
271,2.231502804761476e-07
272,2.1989364995533833e-07
273,2.1814393846852909e-07
274,2.1591282006738766e-07
275,2.1452967757795705e-07
276,2.1284608919813763e-07
277,2.1109026704380085e-07
278,2.096150950592346e-07
279,2.0781007492587378e-07
280,2.0543659218219545e-07
281,2.0314247706210153e-07
282,2.0039736625676596e-07
283,1.9798301309492672e-07
284,1.9553743868527818e-07
285,1.9315041299705626e-07
286,1.9084913560618588e-07
287,1.8876144736168499e-07
288,1.8711737936882855e-07
289,1.855218982882434e-07
290,1.8345068042435742e-07
291,1.8138790380817227e-07
292,1.798185991219725e-07
293,1.7835307630775787e-07
294,1.768850950156775e-07
295,1.7475545632805733e-07
296,1.7190538414979528e-07
297,1.6983824480121257e-07
298,1.679511854035809e-07
299,1.665517856963561e-07
300,1.6511981471012405e-07
301,1.637833833001423e-07
302,1.6232888810918666e-07
303,1.605523323178204e-07
304,1.5850720558319153e-07
305,1.5640127060123632e-07
306,1.55441199467532e-07
307,1.5418311249959515e-07
308,1.527123458799906e-07
309,1.519852474984873e-07
310,1.5085051074947842e-07
311,1.49173359886845e-07
312,1.478511819641426e-07
313,1.4689859995087318e-07
314,1.4576941964605794e-07
315,1.4453708274686505e-07
316,1.429123415164213e-07
317,1.4079694210522575e-07
318,1.3845270530055132e-07
319,1.3727155590004259e-07
320,1.359121739596958e-07
321,1.345588742651671e-07
322,1.3316417835085304e-07
323,1.3109232099850487e-07
324,1.2849599784203747e-07
325,1.2664463611145038e-07
326,1.2539896943053463e-07
327,1.242363225628651e-07
328,1.2331393861586548e-07
329,1.2220894518577552e-07
330,1.2094295698261703e-07
