step,loss
0,2.488569589331746e-05
1,8.966640962171368e-06
2,6.5132662712130696e-06
3,3.908719463652233e-06
4,3.11438611788617e-06
5,2.7894668619410368e-06
6,2.7278688321530353e-06
7,2.6249117581755854e-06
8,2.525691115806694e-06
9,2.4584151105955243e-06
10,2.3879103991930606e-06
11,2.322300133528188e-06
12,2.3022594177746214e-06
13,2.295624199177837e-06
14,2.2847141281090444e-06
15,2.2683923361910274e-06
16,2.253844741062494e-06
17,2.2465621896117227e-06
18,2.241009269710048e-06
19,2.232690576420282e-06
20,2.22433027374791e-06
21,2.212846993643325e-06
22,2.2039357645553537e-06
23,2.1897208171139937e-06
24,2.171878122680937e-06
25,2.152621618733974e-06
26,2.1446708160510752e-06
27,2.1316395759640727e-06
28,2.1162800294405315e-06
29,2.0982597561669536e-06
30,2.0791585484403186e-06
31,2.0550946828734595e-06
32,2.017166480072774e-06
33,1.9725289348571096e-06
34,1.935439513545134e-06
35,1.9122119283565553e-06
36,1.8843663838197244e-06
37,1.8567496908872272e-06
38,1.8335410914005479e-06
39,1.8066909888148075e-06
40,1.7808703205446363e-06
41,1.7634393998378073e-06
42,1.7428617411496816e-06
43,1.7274498986807885e-06
44,1.7071344018404488e-06
45,1.683710365796287e-06
46,1.6636779491818743e-06
47,1.6453697071483475e-06
48,1.6257415609288728e-06
49,1.60687625339051e-06
50,1.5847029999349616e-06
51,1.567968183735502e-06
52,1.5503940176131437e-06
53,1.5323380466725212e-06
54,1.5203996781565365e-06
55,1.5031464499770664e-06
56,1.4854027767796651e-06
57,1.4642178030044306e-06
58,1.441038307348208e-06
59,1.4188535715220496e-06
60,1.4039455891179387e-06
61,1.38559403239924e-06
62,1.3724858263231e-06
63,1.3572206398748676e-06
64,1.3514770671463339e-06
65,1.342267637483019e-06
66,1.330264012722182e-06
67,1.3201719184507965e-06
68,1.3088956620777026e-06
69,1.3023939118284034e-06
70,1.2924239172207308e-06
71,1.2781993063981645e-06
72,1.2601374237419805e-06
73,1.2514854006440146e-06
74,1.2385169156914344e-06
75,1.2241201829965576e-06
76,1.2168296734671458e-06
77,1.20659638014331e-06
78,1.196023390548362e-06
79,1.1879131989189773e-06
80,1.1800837000919273e-06
81,1.170002519756963e-06
82,1.1607187389017781e-06
83,1.1494807949929964e-06
84,1.1413749234634452e-06
85,1.1322503041810705e-06
86,1.122008711718081e-06
87,1.115098484660848e-06
88,1.105788669519825e-06
89,1.0968079777740058e-06
90,1.088212684408063e-06
91,1.07660855519498e-06
92,1.0753138894870062e-06
93,1.0651605180100887e-06
94,1.0509506864764262e-06
95,1.045772478391882e-06
96,1.038395112118451e-06
97,1.0309595381841063e-06
98,1.024625248646771e-06
99,1.0169786719416152e-06
100,1.006229354061361e-06
101,9.912938594425214e-07
102,9.768787094799336e-07
103,9.687222473075963e-07
104,9.562841114529874e-07
105,9.42618214594404e-07
106,9.366731319460087e-07
107,9.269377869713935e-07
108,9.157751037491835e-07
109,9.036397727868462e-07
110,8.960765285337402e-07
111,8.885180022843997e-07
112,8.81823268628068e-07
113,8.748424420446099e-07
114,8.664262054480787e-07
115,8.564776408093167e-07
116,8.428233968515997e-07
117,8.320786832882732e-07
118,8.193335361283971e-07
119,8.05417585070245e-07
120,7.928111358523893e-07
121,7.820574978723016e-07
122,7.726308695055195e-07
123,7.61654177949822e-07
124,7.544198297182447e-07
125,7.455298600689275e-07
126,7.382055287052935e-07
127,7.305891926989716e-07
128,7.208723786789051e-07
129,7.13627741788514e-07
130,7.031096629361855e-07
131,6.896860895722057e-07
132,6.764914814993972e-07
133,6.6371495677231e-07
134,6.49825892651279e-07
135,6.360418751683028e-07
136,6.267926551117853e-07
137,6.149727482807066e-07
138,6.040555149411375e-07
139,5.96935990415659e-07
140,5.888442160539853e-07
141,5.814687256133766e-07
142,5.736379762311117e-07
143,5.687630277861899e-07
144,5.62687091587577e-07
145,5.586983320426953e-07
146,5.530724251912034e-07
147,5.479948868014617e-07
148,5.424031428447051e-07
149,5.36389393346326e-07
150,5.28764076079824e-07
151,5.215756573306862e-07
152,5.156528573024843e-07
153,5.123224013914296e-07
154,5.081977860754705e-07
155,5.035822141508106e-07
156,4.996342113372521e-07
157,4.942262989970914e-07
158,4.88203227178019e-07
159,4.808580342796631e-07
160,4.765036294429592e-07
161,4.7199887376336847e-07
162,4.6768874994995713e-07
163,4.622564233613957e-07
164,4.576974674819212e-07
